FIPS,Attribute_x,Value_x,Attribute_y,Value_y,Attribute,Value
02185,ForeignBornPct,7.317073171,NumCivEmployed,5767.0,Median_HH_Inc_ACS,83992.0
02188,ForeignBornPct,1.710390947,NumCivEmployed,2632.0,Median_HH_Inc_ACS,68654.0
02195,ForeignBornPct,16.41923991,NumCivEmployed,1604.0,Median_HH_Inc_ACS,71696.0
02198,ForeignBornPct,2.531430513,NumCivEmployed,2668.0,Median_HH_Inc_ACS,55857.0
02220,ForeignBornPct,9.755811223,NumCivEmployed,4383.0,Median_HH_Inc_ACS,82083.0
02230,ForeignBornPct,8.728367193,NumCivEmployed,819.0,Median_HH_Inc_ACS,75000.0
02240,ForeignBornPct,7.358738502,NumCivEmployed,2597.0,Median_HH_Inc_ACS,68634.0
02275,ForeignBornPct,4.67160037,NumCivEmployed,776.0,Median_HH_Inc_ACS,54891.0
02282,ForeignBornPct,11.5658363,NumCivEmployed,312.0,Median_HH_Inc_ACS,72083.0
02290,ForeignBornPct,1.343640714,NumCivEmployed,2307.0,Median_HH_Inc_ACS,43405.0
04000,ForeignBornPct,13.02574598,NumCivEmployed,3210791.0,Median_HH_Inc_ACS,65913.0
04001,ForeignBornPct,1.711973282,NumCivEmployed,17888.0,Median_HH_Inc_ACS,34788.0
04003,ForeignBornPct,10.69852588,NumCivEmployed,44293.0,Median_HH_Inc_ACS,55077.0
04005,ForeignBornPct,4.645306398,NumCivEmployed,67266.0,Median_HH_Inc_ACS,61888.0
04007,ForeignBornPct,2.884741877,NumCivEmployed,18822.0,Median_HH_Inc_ACS,51406.0
04009,ForeignBornPct,2.115611483,NumCivEmployed,13452.0,Median_HH_Inc_ACS,57105.0
04011,ForeignBornPct,2.43135611,NumCivEmployed,4163.0,Median_HH_Inc_ACS,67723.0
04012,ForeignBornPct,10.32947462,NumCivEmployed,5256.0,Median_HH_Inc_ACS,39732.0
04013,ForeignBornPct,14.49074988,NumCivEmployed,2124706.0,Median_HH_Inc_ACS,72944.0
04015,ForeignBornPct,6.422465613,NumCivEmployed,75923.0,Median_HH_Inc_ACS,49738.0
04017,ForeignBornPct,2.517611084,NumCivEmployed,33938.0,Median_HH_Inc_ACS,46126.0
04019,ForeignBornPct,12.21345947,NumCivEmployed,457733.0,Median_HH_Inc_ACS,59215.0
04021,ForeignBornPct,9.134502229,NumCivEmployed,160912.0,Median_HH_Inc_ACS,65488.0
04023,ForeignBornPct,32.64648252,NumCivEmployed,18540.0,Median_HH_Inc_ACS,45089.0
04025,ForeignBornPct,6.581575694,NumCivEmployed,92638.0,Median_HH_Inc_ACS,56170.0
04027,ForeignBornPct,25.49422501,NumCivEmployed,75261.0,Median_HH_Inc_ACS,52563.0
05000,ForeignBornPct,4.928269183,NumCivEmployed,1310863.0,Median_HH_Inc_ACS,52123.0
05001,ForeignBornPct,0.96682684,NumCivEmployed,7762.0,Median_HH_Inc_ACS,55022.0
05003,ForeignBornPct,2.561718831,NumCivEmployed,7064.0,Median_HH_Inc_ACS,42683.0
05005,ForeignBornPct,1.878194619,NumCivEmployed,15127.0,Median_HH_Inc_ACS,43530.0
05007,ForeignBornPct,11.91036467,NumCivEmployed,137111.0,Median_HH_Inc_ACS,76887.0
05009,ForeignBornPct,1.436773935,NumCivEmployed,16263.0,Median_HH_Inc_ACS,48625.0
05011,ForeignBornPct,7.539869775,NumCivEmployed,3993.0,Median_HH_Inc_ACS,41972.0
05013,ForeignBornPct,1.579713157,NumCivEmployed,1866.0,Median_HH_Inc_ACS,55904.0
05015,ForeignBornPct,8.357604603,NumCivEmployed,11779.0,Median_HH_Inc_ACS,53366.0
05017,ForeignBornPct,2.892839981,NumCivEmployed,3045.0,Median_HH_Inc_ACS,33770.0
05019,ForeignBornPct,1.891603691,NumCivEmployed,9602.0,Median_HH_Inc_ACS,45351.0
05021,ForeignBornPct,0.211445331,NumCivEmployed,6329.0,Median_HH_Inc_ACS,39817.0
05023,ForeignBornPct,0.893432067,NumCivEmployed,9495.0,Median_HH_Inc_ACS,48400.0
05025,ForeignBornPct,0.275157233,NumCivEmployed,2992.0,Median_HH_Inc_ACS,48183.0
05027,ForeignBornPct,1.699568571,NumCivEmployed,8970.0,Median_HH_Inc_ACS,41115.0
05029,ForeignBornPct,2.634504761,NumCivEmployed,9044.0,Median_HH_Inc_ACS,45812.0
05031,ForeignBornPct,3.761547213,NumCivEmployed,51184.0,Median_HH_Inc_ACS,51788.0
05033,ForeignBornPct,4.194567068,NumCivEmployed,24572.0,Median_HH_Inc_ACS,52057.0
05035,ForeignBornPct,1.70880053,NumCivEmployed,20689.0,Median_HH_Inc_ACS,46452.0
05037,ForeignBornPct,1.836433422,NumCivEmployed,7215.0,Median_HH_Inc_ACS,45247.0
05039,ForeignBornPct,0.270880361,NumCivEmployed,2452.0,Median_HH_Inc_ACS,34337.0
05041,ForeignBornPct,3.113616652,NumCivEmployed,4270.0,Median_HH_Inc_ACS,33295.0
05043,ForeignBornPct,1.302038719,NumCivEmployed,7386.0,Median_HH_Inc_ACS,42891.0
05045,ForeignBornPct,3.639064542,NumCivEmployed,58974.0,Median_HH_Inc_ACS,54845.0
05047,ForeignBornPct,0.658546535,NumCivEmployed,6824.0,Median_HH_Inc_ACS,42128.0
05049,ForeignBornPct,1.474486415,NumCivEmployed,4081.0,Median_HH_Inc_ACS,36950.0
05051,ForeignBornPct,3.743454972,NumCivEmployed,41466.0,Median_HH_Inc_ACS,49985.0
05053,ForeignBornPct,1.981911568,NumCivEmployed,7642.0,Median_HH_Inc_ACS,62479.0
05055,ForeignBornPct,0.764261469,NumCivEmployed,19783.0,Median_HH_Inc_ACS,51367.0
05057,ForeignBornPct,6.25,NumCivEmployed,8070.0,Median_HH_Inc_ACS,43592.0
05059,ForeignBornPct,0.843002176,NumCivEmployed,12515.0,Median_HH_Inc_ACS,46724.0
05061,ForeignBornPct,7.895145029,NumCivEmployed,5600.0,Median_HH_Inc_ACS,39558.0
05063,ForeignBornPct,3.381310192,NumCivEmployed,16176.0,Median_HH_Inc_ACS,50028.0
05065,ForeignBornPct,1.010766864,NumCivEmployed,4429.0,Median_HH_Inc_ACS,45318.0
05067,ForeignBornPct,0.414741083,NumCivEmployed,5921.0,Median_HH_Inc_ACS,39154.0
05069,ForeignBornPct,1.570404258,NumCivEmployed,25161.0,Median_HH_Inc_ACS,43720.0
05071,ForeignBornPct,9.48826055,NumCivEmployed,10535.0,Median_HH_Inc_ACS,40628.0
05073,ForeignBornPct,2.055546838,NumCivEmployed,2254.0,Median_HH_Inc_ACS,36083.0
05075,ForeignBornPct,0.583108274,NumCivEmployed,6558.0,Median_HH_Inc_ACS,40746.0
05077,ForeignBornPct,1.539855073,NumCivEmployed,2557.0,Median_HH_Inc_ACS,29082.0
05079,ForeignBornPct,2.16162542,NumCivEmployed,3385.0,Median_HH_Inc_ACS,49474.0
05081,ForeignBornPct,0.223066755,NumCivEmployed,4992.0,Median_HH_Inc_ACS,57614.0
